name,recipe,category,images
Mango Milk Tea,"Iced black tea. Made with half and half instead of water. Mango syrup (1 pump tall, 2 grande, 2.5 venti). ",Secret Teas,https://starbuckssecretmenu.net/wp-content/uploads/2015/07/mango-milk-tea.jpg
Spiced Apple Pie,"½ Hot Passion Tango Tea. ½ Steamed apple juice. Add cinnamon dolce syrup (3 pumps tall, 4 grande, 5 venti). Top with whipped cream, graham cracker and cinnamon dolce sprinkles. ",Secret Drinks,https://starbuckssecretmenu.net/wp-content/uploads/2015/10/Spiced-Apple-Pie.jpg
Taste the Rainbow with Starbucks Secret Menu Blue Drink!,Passion iced tea. Made with Soy Milk. Add vanilla syrup. ,Secret Drinks,"https://starbuckssecretmenu.net/wp-content/uploads/2016/06/rainbow-starbucks-blue-drink.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2016/06/starbucks-rainbow.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2016/06/starbucks-secret-menu-rainbow-drinks.jpg"
Superfruit Iced Tea,Iced green tea. No added water or sweetener. 1 scoop of limes. 1 scoop of strawberries.  1 scoop of berries for extra fruitiness. ,Secret Teas,https://starbuckssecretmenu.net/wp-content/uploads/2016/01/starbucks-superfruit-tea.jpg
Raspberry Iced Tea,"Iced half green, half black tea. Add raspberry syrup (2 pumps tall, 3 grande, 4 venti). ",Secret Teas,https://starbuckssecretmenu.net/wp-content/uploads/2015/06/Starbucks-Raspberry-Tea.jpg
Starbucks Secret Menu Purple Drink is the Newest Internet Sensation!,Passion Iced Tea. Made with Soymilk. Vanilla syrup. Scoops of Blackberries. ,Secret Drinks,"https://starbuckssecretmenu.net/wp-content/uploads/2016/06/purple-drink-starbucks.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2016/06/purple-drink.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2016/06/starbucks-purple-drink.jpg"
Arnold Palmer,"Half iced black tea. Half lemonade. Classic syrup (1.5 pumps tall, 2 pumps grande, 3 pumps venti). ",Secret Drinks,https://starbuckssecretmenu.net/wp-content/uploads/2015/07/arnold-palmer.jpg
Taste the Rainbow with Starbucks Secret Menu Green Drink!,Iced black tea. Add matcha powder. Made with coconut milk. ,Secret Drinks,"https://starbuckssecretmenu.net/wp-content/uploads/2016/06/starbucks-green-drink.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2016/06/rainbow-starbucks-secret-menu.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2016/06/starbucks-secret-menu-taste-the-rainbow.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2016/06/Starbucks-Secret-Menu-rainbow-drinks-stack.jpg"
Passion Coldbuster Tea,Venti tea with one bag of Passion Tango tea and one bag of Emperor’s Cloud and Mist. Half steamed lemonade and half boiling water. Add a bit of honey. ,Secret Teas,https://starbuckssecretmenu.net/wp-content/uploads/2016/12/passion-coldbuster-tea.jpg
Starbucks Matcha & Espresso Fusion,Start with standard scoops of matcha powder mixed with a little bit of water to eliminate chunks. Add Ice. Add choice of milk. Add affogato shots (1-2). ,Secret Drinks,https://starbuckssecretmenu.net/wp-content/uploads/2016/11/matcha-espresso-fusion.jpg
Starbucks Matcha Pink Drink,3 parts traditional Pink Drink (Strawberry Acai Refresher with coconut milk). Atop 1 part matcha coconut milk on the rocks. ,Secret Drinks,"https://starbuckssecretmenu.net/wp-content/uploads/2017/02/Starbucks-Matcha-Pink-Drink.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2017/02/Starbucks-Secret-Menu-Matcha-Pink-Drink.jpg"
Starbucks Pink Purple Drink,"1 part Pink Drink (Strawberry Acai Refresher with coconut milk). 1 part Purple Drink (Passion Iced Tea with soy , vanilla syrup & blackberries). 1 part Pink Drink. 1 part modified Purple Drink (Passion Iced Tea with coconut milk, vanilla syrup & 3 scoops of berries). ",Secret Drinks,"https://starbuckssecretmenu.net/wp-content/uploads/2017/03/Pink-Purple-Drink.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2017/03/Starbucks-Pink-Purple-Drink.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2017/03/pink-purple-drink-and-matcha-pink-drink.jpg"
Starbucks Ombré Pink Drink,Pink Drink. Topped passion iced tea. Cool Lime Refresher made with coconut milk (no water). Top with passion tea. ,Secret Drinks,"https://starbuckssecretmenu.net/wp-content/uploads/2017/06/Starbucks-Ombre-Pink-Drink.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2017/06/Ombre-Pink-Drink-Starbucks.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2017/06/Violet-Drink-and-Pink-Ombre-Drink.jpg,https://starbuckssecretmenu.net/wp-content/uploads/2017/06/Cups-of-Kindness-Starbucks.jpg"
